,City,Latitude,Longitude,Temperature,Humidity,Clouds %,Wind Speed (mph),Temperature_F
0,sinnamary,5.38,-52.95,27.06,81,22,5.74,80.708
1,rikitea,-23.12,-134.97,23.04,75,0,6.61,73.472
2,saint george,37.1,-113.58,29.78,11,1,2.23,85.604
3,zhigalovo,54.81,105.16,-3.14,80,78,1,26.348
4,betioky,-23.72,44.38,17.76,89,24,2.66,63.968
5,straumen,63.87,11.3,6.83,93,75,4.1,44.294
6,busselton,-33.65,115.33,16.59,68,41,6.36,61.862
7,koroni,36.8,21.95,20.0,69,23,4.88,68.0
8,belle fourche,44.67,-103.85,15.01,33,1,2.1,59.018
9,hithadhoo,-0.6,73.08,28.18,72,100,4.21,82.724
10,thompson,55.74,-97.86,1.0,74,75,8.2,33.8
11,constitucion,-35.33,-72.42,14.13,77,4,5.12,57.434
12,haines junction,60.75,-137.51,3.13,74,84,1.14,37.634
13,vidim,56.41,103.11,-2.56,95,89,1.76,27.392
14,taolanaro,,,,,,,
15,nikolskoye,59.7,30.79,5.46,100,35,0.69,41.828
16,bonfim,3.08,-59.95,28.97,55,42,1.93,84.146
17,saldanha,-33.01,17.94,10.0,76,0,3.6,50.0
18,bredasdorp,-34.53,20.04,9.0,87,16,0.5,48.2
19,yulara,-25.24,130.99,25.0,15,0,6.7,77.0
20,achacachi,-16.05,-68.68,7.5,70,45,4.54,45.5
21,iranshahr,27.2,60.68,12.87,31,0,1.24,55.166
22,cabo san lucas,22.89,-109.91,26.26,88,90,7.2,79.268
23,aitape,-3.14,142.35,30.1,65,60,1.15,86.18
24,severobaykalsk,55.65,109.32,-3.28,80,75,1.35,26.096
25,hofn,64.25,-15.21,7.69,79,33,5.33,45.842
26,guerrero negro,27.98,-114.06,31.09,40,98,7.09,87.962
27,huron,41.15,-82.55,13.5,58,0,0.89,56.3
28,majene,-3.54,118.97,27.84,76,77,3.33,82.112
29,avera,33.19,-82.53,23.51,65,1,2.1,74.318
30,tezu,27.92,96.17,23.4,63,0,1.36,74.12
31,san cristobal,7.77,-72.22,29.0,48,40,7.7,84.2
32,norman wells,65.28,-126.83,-6.0,62,90,1.5,21.2
33,kavaratti,10.57,72.64,27.2,79,64,8.51,80.96
34,chopovychi,50.83,28.95,15.05,81,74,4.08,59.09
35,darasun,51.67,114,-9.0,85,0,3,15.8
36,katsuura,35.13,140.3,20.26,72,75,4.6,68.468
37,mataura,-46.19,168.86,6.35,91,83,4.42,43.43
38,new norfolk,-42.78,147.06,12.99,53,31,1.34,55.382
39,neuquen,-38.95,-68.06,26.0,19,2,8.2,78.8
40,illoqqortoormiut,,,,,,,
41,portland,45.52,-122.68,16.03,67,90,5.1,60.854
42,puri,19.8,85.85,25.0,100,75,3.1,77.0
43,sao joao da barra,-21.64,-41.05,23.07,87,54,9.78,73.526
44,souillac,-20.52,57.52,23.0,83,40,3.6,73.4
45,bataipora,-22.3,-53.27,27.02,49,55,1.58,80.636
46,kaitangata,-46.28,169.85,6.11,76,63,4.47,42.998000000000005
47,maragogi,-9.01,-35.22,24.25,80,6,4.38,75.65
48,geraldton,-28.77,114.6,20.0,77,90,5.7,68.0
49,prieska,-29.66,22.75,16.98,28,0,3.48,62.564
50,hilo,19.73,-155.09,26.52,58,40,3.1,79.736
51,grand river south east,,,,,,,
52,los llanos de aridane,28.66,-17.92,23.0,78,0,4.6,73.4
53,manama,26.22,50.58,28.0,69,0,2.1,82.4
54,east london,-33.02,27.91,14.77,68,10,6.06,58.586
55,xuchang,34.02,113.82,12.0,93,90,5,53.6
56,gao,16.64,1.64,32.35,15,33,3.01,90.23
57,alappuzha,9.49,76.33,26.06,85,62,6.55,78.908
58,kaman,27.65,77.27,25.32,51,23,1.55,77.576
59,bambous virieux,-20.34,57.76,23.16,83,40,3.6,73.688
60,kodiak,57.79,-152.41,9.0,81,75,3.1,48.2
61,bathsheba,13.22,-59.52,27.78,76,25,2.39,82.004
62,sydney,-33.87,151.21,19.35,68,40,6.7,66.83
63,dabhol,17.6,73.17,23.85,95,100,0.81,74.93
64,butaritari,3.07,172.79,27.9,74,53,8,82.22
65,mackay,-21.15,149.2,25.38,54,43,8.2,77.684
66,miramar,25.99,-80.23,27.88,74,1,3.6,82.184
